source,fuel__code,fuel__name,region,factors__unit,factors__factor__wtt,factors__factor__ttw,factors__factor__wtw
GLEC,AVIATION_FUEL,Aviation fuel,INTERNATIONAL,KG_CO2E_PER_KG,0.7,3.18,3.88
GLEC,AVIATION_FUEL,Aviation fuel,INTERNATIONAL,KG_CO2E_PER_L,0.56,2.55,3.1
GLEC,BIO_CNG_HPDI_HDR,"Bio-CNG HPDI, heavy duty road",EU,KG_CO2E_PER_KG,1.41,null,null
GLEC,BIO_CNG_HPDI_HDR,"Bio-CNG HPDI, heavy duty road",EU,KG_CO2E_PER_L,null,0.13,1.57
GLEC,BIO_CNG_SI_ROAD,Bio-CNG SI road,EU,KG_CO2E_PER_KG,1.41,null,null
GLEC,BIO_CNG_SI_ROAD,Bio-CNG SI road,EU,KG_CO2E_PER_L,null,0.1,1.53
GLEC,BIO_LNG_DIESEL,Bio-LNG diesel ship,EU,KG_CO2E_PER_KG,1.41,null,null
GLEC,BIO_LNG_DIESEL,Bio-LNG diesel ship,EU,KG_CO2E_PER_L,null,0.09,1.5
GLEC,BIO_LNG_HPDI_HDR,"Bio-LNG HPDI, heavy duty road",EU,KG_CO2E_PER_KG,1.41,null,null
GLEC,BIO_LNG_HPDI_HDR,"Bio-LNG HPDI, heavy duty road",EU,KG_CO2E_PER_L,null,0.13,1.57
GLEC,BIO_LNG_OTTO_LOW_SPEED,Bio-LNG Otto dual fuel (slow speed) ship,EU,KG_CO2E_PER_KG,1.41,null,null
GLEC,BIO_LNG_OTTO_LOW_SPEED,Bio-LNG Otto dual fuel (slow speed) ship,EU,KG_CO2E_PER_L,null,0.53,1.94
GLEC,BIO_LNG_OTTO_MED_SPEED,Bio-LNG Otto dual fuel (medium speed) ship,EU,KG_CO2E_PER_KG,1.41,null,null
GLEC,BIO_LNG_OTTO_MED_SPEED,Bio-LNG Otto dual fuel (medium speed) ship,EU,KG_CO2E_PER_L,null,0.94,2.35
GLEC,BIO_LNG_SI_HDR,"Bio-LNG SI, heavy duty road",EU,KG_CO2E_PER_KG,1.41,null,null
GLEC,BIO_LNG_SI_HDR,"Bio-LNG SI, heavy duty road",EU,KG_CO2E_PER_L,null,0.1,1.53
GLEC,BIODIESEL_B100,100% biodiesel (B100),EU,KG_CO2E_PER_KG,2.16,0,2.16
GLEC,BIODIESEL_B100,100% biodiesel (B100),EU,KG_CO2E_PER_L,1.92,0,1.92
GLEC,BIOETHANOL,Bioethanol,EU,KG_CO2E_PER_KG,1.56,0,1.56
GLEC,BIOETHANOL,Bioethanol,EU,KG_CO2E_PER_L,1.24,0,1.24
GLEC,BIOETHANOL_85,Bioethanol 85%,NA,KG_CO2E_PER_KG,-0.24,2.09,1.84
GLEC,BIOETHANOL_85,Bioethanol 85%,NA,KG_CO2E_PER_L,-0.19,1.64,1.44
GLEC,CALIFORNIA_GASOLINE,California gasoline,NA,KG_CO2E_PER_KG,0.69,3.04,3.74
GLEC,CALIFORNIA_GASOLINE,California gasoline,NA,KG_CO2E_PER_L,0.52,2.28,2.8
GLEC,CNG_HPDI_HDR,"CNG HPDI, heavy duty road",EU,KG_CO2E_PER_KG,0.75,null,null
GLEC,CNG_HPDI_HDR,"CNG HPDI, heavy duty road",EU,KG_CO2E_PER_L,null,2.87,3.62
GLEC,CNG_HPDI_ROAD,CNG HPDI road,NA,KG_CO2E_PER_KG,0.8,null,null
GLEC,CNG_HPDI_ROAD,CNG HPDI road,NA,KG_CO2E_PER_L,null,3.08,3.88
GLEC,CNG_SI_HDR,"CNG SI, heavy duty road",EU,KG_CO2E_PER_KG,0.75,null,null
GLEC,CNG_SI_HDR,"CNG SI, heavy duty road",EU,KG_CO2E_PER_L,null,2.84,3.59
GLEC,CNG_SI_ROAD,CNG SI road,NA,KG_CO2E_PER_KG,0.8,null,null
GLEC,CNG_SI_ROAD,CNG SI road,NA,KG_CO2E_PER_L,null,2.8,3.6
GLEC,CONVENTIONAL_GASOLINE,Conventional gasoline,NA,KG_CO2E_PER_KG,0.72,3.04,3.76
GLEC,CONVENTIONAL_GASOLINE,Conventional gasoline,NA,KG_CO2E_PER_L,0.54,2.28,2.82
GLEC,DIESEL,Diesel,EU,KG_CO2E_PER_KG,0.69,3.21,3.9
GLEC,DIESEL,Diesel,EU,KG_CO2E_PER_L,0.57,2.67,3.24
GLEC,DIESEL,Diesel,NA,KG_CO2E_PER_KG,0.66,3.21,3.87
GLEC,DIESEL,Diesel,NA,KG_CO2E_PER_L,0.55,2.68,3.24
GLEC,DIESEL_B5,"Diesel, 5% biodiesel blend (B5)",EU,KG_CO2E_PER_KG,0.76,3.04,3.8
GLEC,DIESEL_B5,"Diesel, 5% biodiesel blend (B5)",EU,KG_CO2E_PER_L,0.63,2.54,3.17
GLEC,GASOLINE,Gasoline,EU,KG_CO2E_PER_KG,0.61,3.25,3.86
GLEC,GASOLINE,Gasoline,EU,KG_CO2E_PER_L,0.45,2.42,2.88
GLEC,GASOLINE_E10,Gasoline 10% bioethanol blend,NA,KG_CO2E_PER_KG,0.69,2.93,3.62
GLEC,GASOLINE_E10,Gasoline 10% bioethanol blend,NA,KG_CO2E_PER_L,0.52,2.21,2.73
GLEC,GASOLINE_E5,"Gasoline, 5% bioethanol blend",EU,KG_CO2E_PER_KG,0.66,3.08,3.74
GLEC,GASOLINE_E5,"Gasoline, 5% bioethanol blend",EU,KG_CO2E_PER_L,0.5,2.3,2.8
GLEC,HEAVY_FUEL_OIL,Heavy fuel oil,INTERNATIONAL,KG_CO2E_PER_KG,0.26,3.15,3.41
GLEC,HEAVY_FUEL_OIL,Heavy fuel oil,INTERNATIONAL,KG_CO2E_PER_L,0.25,3.06,3.31
GLEC,LIQUEFIED_PETROLEUM_GAS,Liquefied petroleum gas,EU,KG_CO2E_PER_KG,0.36,3.1,3.46
GLEC,LIQUEFIED_PETROLEUM_GAS,Liquefied petroleum gas,EU,KG_CO2E_PER_L,0.2,1.7,1.9
GLEC,LIQUEFIED_PETROLEUM_GAS,Liquefied petroleum gas,NA,KG_CO2E_PER_KG,0.64,3.02,3.66
GLEC,LIQUEFIED_PETROLEUM_GAS,Liquefied petroleum gas,NA,KG_CO2E_PER_L,0.32,1.53,1.86
GLEC,LNG_COMPRESSION,LNG compression ignition ship,EU,KG_CO2E_PER_KG,0.81,null,null
GLEC,LNG_COMPRESSION,LNG compression ignition ship,EU,KG_CO2E_PER_L,null,2.83,3.65
GLEC,LNG_HPDI_HDR,"LNG HPDI, heavy duty road",EU,KG_CO2E_PER_KG,0.81,null,null
GLEC,LNG_HPDI_HDR,"LNG HPDI, heavy duty road",EU,KG_CO2E_PER_L,null,2.87,3.68
GLEC,LNG_HPDI_ROAD,LNG HPDI road,NA,KG_CO2E_PER_KG,0.93,null,null
GLEC,LNG_HPDI_ROAD,LNG HPDI road,NA,KG_CO2E_PER_L,null,3.08,4.01
GLEC,LNG_OTTO_LOW_SPEED,LNG Otto dual fuel (slow speed) ship,EU,KG_CO2E_PER_KG,0.81,null,null
GLEC,LNG_OTTO_LOW_SPEED,LNG Otto dual fuel (slow speed) ship,EU,KG_CO2E_PER_L,null,3.23,4.05
GLEC,LNG_OTTO_MED_SPEED,LNG Otto dual fuel (medium speed) ship,EU,KG_CO2E_PER_KG,0.81,null,null
GLEC,LNG_OTTO_MED_SPEED,LNG Otto dual fuel (medium speed) ship,EU,KG_CO2E_PER_L,null,3.61,4.42
GLEC,LNG_SI_HDR,"LNG SI, heavy duty road",EU,KG_CO2E_PER_KG,0.81,null,null
GLEC,LNG_SI_HDR,"LNG SI, heavy duty road",EU,KG_CO2E_PER_L,null,2.84,3.65
GLEC,LNG_SI_ROAD,LNG SI road,NA,KG_CO2E_PER_KG,0.93,null,null
GLEC,LNG_SI_ROAD,LNG SI road,NA,KG_CO2E_PER_L,null,2.81,3.74
GLEC,MARINE_DIESEL_OIL,Marine diesel oil,EU,KG_CO2E_PER_KG,0.68,3.24,3.92
GLEC,MARINE_DIESEL_OIL,Marine diesel oil,EU,KG_CO2E_PER_L,0.61,2.92,3.53
GLEC,MARINE_DIESEL_OIL,Marine diesel oil,NA,KG_CO2E_PER_KG,0.55,3.22,3.77
GLEC,MARINE_DIESEL_OIL,Marine diesel oil,NA,KG_CO2E_PER_L,0.5,2.95,3.45
GLEC,MARINE_GAS_OIL,Marine gas oil,EU,KG_CO2E_PER_KG,0.68,3.24,3.92
GLEC,MARINE_GAS_OIL,Marine gas oil,EU,KG_CO2E_PER_L,0.61,2.88,3.49
GLEC,METHANOL_90,Methanol 90%,NA,KG_CO2E_PER_KG,0.52,1.54,2.06
GLEC,METHANOL_90,Methanol 90%,NA,KG_CO2E_PER_L,0.41,1.22,1.63
